PlayerKey,Season,PlayerName,SalaryTeam,StatsTeam,AvgShotDistance,FGA_2P_Frequency,FGA_0_3_Frequency,FGA_3_10_Frequency,FGA_10_16_Frequency,FGA_16_3P_Frequency,FGA_3P_Frequency,FG_2P_Pct,FG_0_3_Pct,FG_3_10_Pct,FG_10_16_Pct,FG_16_3P_Pct,FG_3P_Pct,Assisted2P_Pct,Assisted3P_Pct,Dunk_FGA_Pct,DunksMade,Corner3_Frequency,Corner3Pct,HalfCourtAttempts,HalfCourtMakes
P0274,2025-26,Josh Giddey,CHI,CHI,13.4,0.605,0.261,0.262,0.054,0.028,0.395,0.502,0.594,0.463,0.436,0.15,0.364,0.326,0.806,0.011,8.0,0.131,0.351,0.0,0.0
P0275,2025-26,Josh Green,CHO,CHO,19.4,0.238,0.138,0.083,0.017,0.0,0.762,0.581,0.64,0.533,0.333,,0.42,0.72,1.0,0.039,6.0,0.594,0.451,0.0,0.0
P0276,2025-26,Josh Hart,NYK,NYK,13.7,0.591,0.294,0.157,0.095,0.046,0.409,0.574,0.69,0.495,0.464,0.333,0.413,0.697,0.81,0.024,13.0,0.298,0.5,0.0,0.0
P0277,2025-26,Josh Minott,BRK,2TM,17.1,0.393,0.214,0.151,0.02,0.008,0.607,0.626,0.815,0.447,0.2,0.0,0.418,0.629,0.953,0.103,22.0,0.261,0.45,0.0,0.0
P0278,2025-26,Josh Okogie,HOU,HOU,15.1,0.452,0.245,0.167,0.02,0.02,0.548,0.474,0.556,0.347,0.667,0.333,0.385,0.587,1.0,0.109,23.0,0.646,0.337,0.0,0.0
P0279,2025-26,Jrue Holiday,POR,POR,16.7,0.489,0.14,0.207,0.097,0.045,0.511,0.527,0.707,0.476,0.406,0.469,0.378,0.317,0.569,0.004,3.0,0.163,0.441,0.0,0.0
P0280,2025-26,Julian Champagnie,SAS,SAS,19.6,0.257,0.154,0.078,0.02,0.004,0.743,0.599,0.755,0.389,0.286,0.333,0.381,0.698,0.974,0.042,28.0,0.363,0.398,0.0,0.0
P0281,2025-26,Julian Phillips,MIN,2TM,14.6,0.463,0.314,0.124,0.017,0.008,0.537,0.554,0.605,0.333,1.0,1.0,0.308,0.677,1.0,0.182,17.0,0.615,0.3,0.0,0.0
P0282,2025-26,Julian Strawther,DEN,DEN,15.3,0.53,0.154,0.241,0.129,0.006,0.47,0.538,0.633,0.506,0.512,0.0,0.387,0.637,0.948,0.013,4.0,0.287,0.442,0.0,0.0
P0283,2025-26,Julius Randle,MIN,MIN,12.1,0.713,0.27,0.229,0.14,0.074,0.287,0.547,0.709,0.48,0.456,0.337,0.315,0.439,0.853,0.053,58.0,0.22,0.329,0.0,0.0
P0284,2025-26,Justin Champagnie,WAS,WAS,11.0,0.641,0.411,0.212,0.017,0.0,0.359,0.605,0.753,0.357,0.125,,0.319,0.564,0.943,0.106,42.0,0.331,0.273,0.0,0.0
P0285,2025-26,Justin Edwards,PHI,PHI,17.6,0.438,0.159,0.15,0.094,0.034,0.563,0.543,0.784,0.438,0.333,0.455,0.372,0.513,0.91,0.038,11.0,0.167,0.4,0.0,0.0
P0286,2025-26,Jusuf Nurkić,UTA,UTA,9.1,0.802,0.263,0.472,0.061,0.006,0.198,0.54,0.574,0.515,0.591,0.5,0.352,0.71,1.0,0.028,8.0,0.042,0.667,0.0,0.0
P0287,2025-26,Kadary Richmond,WAS,WAS,9.1,0.75,0.438,0.25,0.063,0.0,0.25,0.667,0.857,0.25,1.0,,0.5,0.5,1.0,0.125,2.0,0.25,0.0,0.0,0.0
P0288,2025-26,Kam Jones,IND,IND,14.6,0.556,0.154,0.337,0.047,0.018,0.444,0.489,0.692,0.386,0.5,0.667,0.293,0.391,0.818,0.006,0.0,0.24,0.278,0.0,0.0
P0289,2025-26,Karl-Anthony Towns,NYK,NYK,10.8,0.703,0.408,0.224,0.034,0.037,0.297,0.557,0.632,0.481,0.486,0.263,0.368,0.577,0.947,0.079,74.0,0.049,0.467,0.0,0.0
P0290,2025-26,Karlo Matković,NOP,NOP,10.8,0.617,0.447,0.157,0.013,0.0,0.383,0.717,0.848,0.405,0.0,,0.422,0.731,0.974,0.306,64.0,0.522,0.489,0.0,0.0
P0291,2025-26,Kasparas Jakučionis,MIA,MIA,17.8,0.345,0.189,0.126,0.025,0.004,0.655,0.439,0.622,0.267,0.0,0.0,0.423,0.417,0.985,0.0,0.0,0.314,0.571,0.0,0.0
P0292,2025-26,Kawhi Leonard,LAC,LAC,15.3,0.646,0.128,0.205,0.204,0.109,0.354,0.569,0.752,0.566,0.525,0.445,0.387,0.33,0.57,0.044,46.0,0.092,0.415,0.0,0.0
P0293,2025-26,Keaton Wallace,ATL,ATL,19.8,0.404,0.041,0.123,0.175,0.064,0.596,0.435,0.571,0.429,0.5,0.182,0.373,0.4,0.895,0.006,1.0,0.078,0.5,0.0,0.0
P0294,2025-26,Keegan Murray,SAC,SAC,15.9,0.627,0.083,0.24,0.223,0.08,0.373,0.505,0.72,0.583,0.403,0.333,0.277,0.537,0.935,0.037,11.0,0.161,0.222,0.0,0.0
P0295,2025-26,Kel'el Ware,MIA,MIA,10.9,0.641,0.441,0.171,0.017,0.012,0.359,0.606,0.713,0.36,0.455,0.375,0.395,0.675,1.0,0.236,137.0,0.279,0.431,0.0,0.0
P0296,2025-26,Keldon Johnson,SAS,SAS,10.8,0.657,0.344,0.3,0.009,0.005,0.343,0.601,0.672,0.536,0.143,0.5,0.363,0.562,0.909,0.04,29.0,0.502,0.358,0.0,0.0
P0297,2025-26,Kelly Olynyk,SAS,SAS,14.4,0.51,0.302,0.156,0.031,0.021,0.49,0.714,0.862,0.533,0.0,1.0,0.255,0.429,1.0,0.01,1.0,0.191,0.444,0.0,0.0
P0298,2025-26,Kelly Oubre Jr.,PHI,PHI,14.1,0.561,0.224,0.244,0.075,0.017,0.439,0.551,0.689,0.504,0.293,0.556,0.36,0.53,0.953,0.07,34.0,0.335,0.463,0.0,0.0
P0299,2025-26,Kenrich Williams,OKC,OKC,14.8,0.564,0.264,0.155,0.064,0.081,0.436,0.539,0.692,0.326,0.526,0.458,0.388,0.522,0.92,0.024,6.0,0.225,0.379,0.0,0.0
P0300,2025-26,Kentavious Caldwell-Pope,MEM,MEM,17.5,0.525,0.101,0.161,0.09,0.172,0.475,0.495,0.649,0.475,0.455,0.444,0.316,0.726,0.873,0.016,4.0,0.155,0.333,0.0,0.0
P0301,2025-26,Keon Ellis,CLE,2TM,18.7,0.346,0.143,0.115,0.065,0.023,0.654,0.586,0.836,0.545,0.28,0.111,0.363,0.769,0.967,0.06,21.0,0.343,0.384,0.0,0.0
P0303,2025-26,Keshad Johnson,MIA,MIA,12.0,0.577,0.423,0.125,0.019,0.01,0.423,0.633,0.773,0.077,1.0,1.0,0.295,0.658,0.923,0.192,18.0,0.364,0.375,0.0,0.0
P0304,2025-26,Keshon Gilbert,WAS,2TM,11.0,0.75,0.333,0.333,0.083,0.0,0.25,0.556,1.0,0.25,0.0,,0.0,0.4,,0.0,0.0,0.333,0.0,0.0,0.0
P0305,2025-26,Kevin Durant,HOU,HOU,16.4,0.673,0.065,0.145,0.307,0.156,0.327,0.572,0.82,0.61,0.533,0.512,0.413,0.472,0.731,0.042,54.0,0.102,0.5,0.0,0.0
P0306,2025-26,Kevin Huerter,DET,2TM,16.2,0.455,0.21,0.18,0.045,0.02,0.545,0.624,0.808,0.467,0.556,0.25,0.308,0.692,0.94,0.025,15.0,0.228,0.351,0.0,0.0
P0307,2025-26,Kevin Love,UTA,UTA,19.5,0.286,0.151,0.085,0.035,0.015,0.714,0.456,0.367,0.529,0.571,0.667,0.373,0.654,1.0,0.0,0.0,0.169,0.458,0.0,0.0
P0308,2025-26,Kevin Porter Jr.,MIL,MIL,12.9,0.722,0.251,0.21,0.128,0.132,0.278,0.52,0.682,0.407,0.439,0.471,0.322,0.228,0.63,0.064,28.0,0.203,0.31,0.0,0.0
P0309,2025-26,Kevon Looney,NOP,NOP,8.3,0.783,0.533,0.15,0.05,0.05,0.217,0.489,0.625,0.222,0.0,0.333,0.154,0.304,1.0,0.033,1.0,0.077,0.0,0.0,0.0
P0310,2025-26,Keyonte George,UTA,UTA,15.6,0.59,0.101,0.276,0.117,0.096,0.41,0.515,0.753,0.502,0.417,0.424,0.371,0.515,0.724,0.033,26.0,0.122,0.409,0.0,0.0
P0311,2025-26,Khaman Maluach,PHO,PHO,6.9,0.8,0.629,0.152,0.019,0.0,0.2,0.607,0.682,0.313,0.5,,0.238,0.627,1.0,0.248,23.0,0.333,0.143,0.0,0.0
P0312,2025-26,Khris Middleton,DAL,2TM,16.4,0.656,0.081,0.161,0.228,0.185,0.344,0.452,0.682,0.333,0.472,0.43,0.36,0.419,0.836,0.0,0.0,0.306,0.404,0.0,0.0
P0313,2025-26,Killian Hayes,SAC,SAC,17.8,0.543,0.036,0.188,0.225,0.094,0.457,0.333,0.6,0.423,0.29,0.154,0.27,0.28,0.706,0.0,0.0,0.127,0.125,0.0,0.0
P0314,2025-26,Killian Hayes,SAC,SAC,17.8,0.543,0.036,0.188,0.225,0.094,0.457,0.333,0.6,0.423,0.29,0.154,0.27,0.28,0.706,0.0,0.0,0.127,0.125,0.0,0.0
P0315,2025-26,Klay Thompson,DAL,DAL,21.8,0.276,0.055,0.037,0.08,0.104,0.724,0.418,0.675,0.333,0.397,0.329,0.383,0.81,0.931,0.0,0.0,0.211,0.423,0.0,0.0
P0316,2025-26,Kobe Brown,IND,2TM,15.0,0.487,0.303,0.148,0.026,0.011,0.513,0.568,0.683,0.425,0.286,0.0,0.374,0.533,0.923,0.074,20.0,0.374,0.423,0.0,0.0
P0317,2025-26,Kobe Bufkin,BRK,LAL,17.9,0.48,0.1,0.24,0.04,0.1,0.52,0.417,1.0,0.417,0.0,0.0,0.192,0.5,0.8,0.0,0.0,0.192,0.2,0.0,0.0
P0318,2025-26,Kobe Bufkin,LAL,LAL,17.9,0.48,0.1,0.24,0.04,0.1,0.52,0.417,1.0,0.417,0.0,0.0,0.192,0.5,0.8,0.0,0.0,0.192,0.2,0.0,0.0
P0319,2025-26,Kobe Bufkin,LAL,LAL,17.9,0.48,0.1,0.24,0.04,0.1,0.52,0.417,1.0,0.417,0.0,0.0,0.192,0.5,0.8,0.0,0.0,0.192,0.2,0.0,0.0
P0320,2025-26,Kobe Bufkin,MEM,LAL,17.9,0.48,0.1,0.24,0.04,0.1,0.52,0.417,1.0,0.417,0.0,0.0,0.192,0.5,0.8,0.0,0.0,0.192,0.2,0.0,0.0
P0321,2025-26,Kobe Sanders,LAC,LAC,16.9,0.49,0.141,0.159,0.117,0.073,0.51,0.527,0.759,0.508,0.378,0.357,0.408,0.556,0.975,0.055,21.0,0.337,0.47,0.0,0.0
P0322,2025-26,Kon Knueppel,CHO,CHO,17.9,0.408,0.141,0.171,0.078,0.018,0.592,0.548,0.712,0.443,0.529,0.316,0.425,0.591,0.923,0.017,17.0,0.209,0.53,1.0,0.0
P0323,2025-26,Kris Dunn,LAC,LAC,14.3,0.551,0.187,0.27,0.082,0.013,0.449,0.559,0.719,0.481,0.487,0.333,0.374,0.449,1.0,0.04,17.0,0.411,0.443,0.0,0.0
P0324,2025-26,Kris Murray,POR,POR,12.1,0.558,0.388,0.17,0.0,0.0,0.442,0.617,0.682,0.468,,,0.279,0.674,1.0,0.134,33.0,0.541,0.288,0.0,0.0
P0325,2025-26,Kristaps Porziņģis,GSW,2TM,16.2,0.588,0.16,0.198,0.124,0.106,0.412,0.522,0.694,0.468,0.458,0.439,0.338,0.563,0.981,0.077,26.0,0.106,0.647,0.0,0.0
P0326,2025-26,Kyle Anderson,MEM,3TM,7.7,0.946,0.243,0.559,0.124,0.02,0.054,0.539,0.653,0.504,0.4,1.0,0.364,0.437,1.0,0.03,5.0,0.727,0.375,0.0,0.0
P0327,2025-26,Kyle Filipowski,UTA,UTA,11.5,0.653,0.259,0.339,0.047,0.008,0.347,0.58,0.706,0.525,0.355,0.2,0.325,0.647,0.959,0.091,53.0,0.421,0.333,0.0,0.0
P0328,2025-26,Kyle Kuzma,MIL,MIL,12.1,0.653,0.3,0.257,0.071,0.025,0.347,0.569,0.744,0.446,0.306,0.471,0.347,0.637,0.94,0.041,25.0,0.351,0.357,1.0,0.0
P0329,2025-26,Kyle Lowry,PHI,PHI,26.7,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.16,,1.0,0.0,0.0,0.08,0.5,0.0,0.0
P0331,2025-26,Kyshawn George,WAS,WAS,16.5,0.549,0.135,0.199,0.137,0.078,0.451,0.486,0.731,0.357,0.494,0.378,0.381,0.331,0.818,0.019,9.0,0.192,0.46,0.0,0.0
P0332,2025-26,LaMelo Ball,CHO,CHO,18.9,0.405,0.112,0.185,0.087,0.022,0.595,0.464,0.583,0.409,0.426,0.481,0.368,0.252,0.621,0.006,6.0,0.122,0.444,0.0,0.0
P0333,2025-26,Landry Shamet,NYK,NYK,19.6,0.277,0.162,0.038,0.044,0.033,0.723,0.554,0.712,0.071,0.375,0.583,0.392,0.768,0.981,0.014,3.0,0.445,0.436,0.0,0.0
