PlayerKey,Season,PlayerName,SalaryTeam,StatsTeam,PTSPer100,TRBPer100,ASTPer100,STLPer100,BLKPer100,TOVPer100,PlayerORtg,PlayerDRtg
P0130,2025-26,Desmond Bane,ORL,ORL,28.7,5.9,5.9,1.5,0.6,2.9,120.0,117.0
P0131,2025-26,Devin Booker,PHO,PHO,38.4,5.7,8.9,1.2,0.4,4.6,119.0,117.0
P0132,2025-26,Devin Carter,SAC,SAC,23.4,8.6,7.0,2.3,0.6,3.7,104.0,120.0
P0133,2025-26,Devin Vassell,SAS,SAS,21.9,6.3,3.9,1.3,0.6,1.4,118.0,114.0
P0135,2025-26,Dillon Brooks,PHO,PHO,32.8,5.9,2.9,1.7,0.3,2.8,108.0,116.0
P0136,2025-26,Dillon Jones,WAS,NYK,11.4,8.9,5.1,3.8,0.0,0.0,122.0,110.0
P0137,2025-26,Domantas Sabonis,SAC,SAC,25.8,18.5,6.7,1.5,0.3,4.4,115.0,118.0
P0138,2025-26,Dominick Barlow,PHI,PHI,15.6,9.7,2.5,1.8,1.5,1.6,124.0,116.0
P0139,2025-26,Donovan Clingan,POR,POR,21.3,20.3,3.7,1.0,3.0,2.2,131.0,110.0
P0140,2025-26,Donovan Mitchell,CLE,CLE,40.1,6.5,8.2,2.1,0.4,4.1,121.0,116.0
P0141,2025-26,Donte DiVincenzo,MIN,MIN,19.1,6.4,6.0,2.0,0.7,2.3,116.0,115.0
P0142,2025-26,Dorian Finney-Smith,HOU,HOU,9.9,7.5,2.9,1.3,0.5,1.8,105.0,117.0
P0143,2025-26,Doug McDermott,SAC,SAC,18.1,4.1,2.4,0.7,0.4,1.4,113.0,126.0
P0144,2025-26,Drake Powell,BRK,BRK,15.3,4.2,3.4,1.3,0.5,2.2,102.0,122.0
P0145,2025-26,Draymond Green,GSW,GSW,14.8,9.7,9.8,1.6,1.1,4.7,104.0,115.0
P0146,2025-26,Drew Eubanks,SAC,SAC,19.2,11.1,1.7,1.3,2.3,2.6,112.0,120.0
P0147,2025-26,Drew Timme,BRK,LAL,19.1,6.9,4.8,1.2,0.0,2.7,121.0,120.0
P0148,2025-26,Dru Smith,MIA,MIA,16.1,7.0,7.3,4.1,0.9,2.2,118.0,110.0
P0149,2025-26,Duncan Robinson,DET,DET,21.5,4.7,3.6,1.0,0.5,1.2,129.0,115.0
P0150,2025-26,Duop Reath,ATL,POR,17.4,7.0,1.9,0.9,1.5,1.3,125.0,117.0
P0151,2025-26,Dwight Powell,DAL,DAL,11.0,13.4,3.5,1.8,1.1,2.1,135.0,115.0
P0152,2025-26,Dylan Harper,SAS,SAS,25.1,7.2,8.2,1.7,0.7,3.1,117.0,113.0
P0153,2025-26,Dyson Daniels,ATL,ATL,16.9,9.7,8.4,2.8,0.6,2.5,119.0,112.0
P0154,2025-26,E.J. Liddell,PHO,BRK,20.8,9.8,3.4,0.9,1.4,2.1,116.0,119.0
P0155,2025-26,Egor Dёmin,BRK,BRK,20.3,6.2,6.5,1.6,0.6,3.3,107.0,120.0
P0156,2025-26,Eric Gordon,MEM,PHI,21.5,1.3,2.0,2.6,0.7,2.0,130.0,118.0
P0157,2025-26,Evan Mobley,CLE,CLE,27.3,13.6,5.4,1.1,2.6,2.8,120.0,113.0
P0158,2025-26,Franz Wagner,ORL,ORL,32.9,8.3,5.3,1.5,0.5,2.7,118.0,116.0
P0160,2025-26,GG Jackson II,MEM,MEM,27.6,9.5,3.3,1.2,1.8,3.4,109.0,118.0
P0162,2025-26,Gabe Vincent,ATL,2TM,12.7,3.0,4.2,1.5,0.2,1.5,109.0,120.0
P0163,2025-26,Garrett Temple,TOR,TOR,11.4,6.0,6.0,2.7,1.3,4.7,85.0,111.0
P0164,2025-26,Garrison Mathews,IND,IND,18.9,4.1,2.4,1.5,0.7,0.7,127.0,121.0
P0165,2025-26,Garrison Mathews,IND,IND,18.9,4.1,2.4,1.5,0.7,0.7,127.0,121.0
P0166,2025-26,Garrison Mathews,IND,IND,18.9,4.1,2.4,1.5,0.7,0.7,127.0,121.0
P0167,2025-26,Gary Harris,MIL,MIL,9.5,4.5,3.8,2.0,0.7,1.4,119.0,121.0
P0168,2025-26,Gary Payton II,GSW,GSW,23.2,11.2,5.2,2.8,0.9,2.6,124.0,113.0
P0169,2025-26,Gary Trent Jr.,MIL,MIL,18.9,2.4,2.8,1.2,0.1,1.5,105.0,124.0
P0171,2025-26,Giannis Antetokounmpo,MIL,MIL,47.0,16.7,9.3,1.6,1.1,5.4,125.0,115.0
P0172,2025-26,Goga Bitadze,ORL,ORL,18.5,15.8,4.2,1.8,3.0,2.1,140.0,110.0
P0173,2025-26,Gradey Dick,TOR,TOR,20.8,6.7,2.3,2.1,0.3,2.0,108.0,114.0
P0174,2025-26,Grant Nelson,BRK,BRK,24.0,8.5,7.1,1.4,7.1,5.7,111.0,111.0
P0175,2025-26,Grant Williams,CHO,CHO,17.6,9.9,3.9,1.2,1.3,2.2,126.0,115.0
P0176,2025-26,Grayson Allen,PHO,PHO,28.3,5.2,6.6,2.3,0.4,2.8,118.0,115.0
P0177,2025-26,Guerschon Yabusele,CHI,2TM,17.7,11.1,3.0,1.2,0.8,1.9,112.0,116.0
P0178,2025-26,Gui Santos,GSW,GSW,21.7,9.2,5.5,2.1,0.8,3.5,115.0,115.0
P0179,2025-26,Harrison Barnes,SAS,SAS,18.5,5.2,3.6,1.2,0.3,1.5,124.0,115.0
P0180,2025-26,Haywood Highsmith,BRK,PHO,20.6,7.1,3.8,2.2,0.0,0.0,165.0,116.0
P0181,2025-26,Haywood Highsmith,PHO,PHO,20.6,7.1,3.8,2.2,0.0,0.0,165.0,116.0
P0182,2025-26,Herbert Jones,NOP,NOP,14.9,5.7,4.7,2.7,0.8,2.2,103.0,119.0
P0183,2025-26,Hugo González,BOS,BOS,13.5,11.5,1.9,2.0,1.0,1.8,114.0,111.0
P0184,2025-26,Hunter Tyson,BRK,DEN,13.9,10.8,5.1,0.6,0.3,1.5,96.0,118.0
P0185,2025-26,Immanuel Quickley,TOR,TOR,25.1,6.2,9.1,2.0,0.1,2.2,121.0,114.0
P0186,2025-26,Isaac Jones,DET,2TM,12.1,6.7,1.3,0.0,1.3,1.3,112.0,121.0
P0187,2025-26,Isaac Okoro,CHI,CHI,16.1,4.8,2.8,1.3,0.8,1.3,118.0,121.0
P0188,2025-26,Isaiah Collier,UTA,UTA,21.3,4.6,13.1,2.0,0.6,4.6,114.0,123.0
P0189,2025-26,Isaiah Hartenstein,OKC,OKC,18.4,18.8,7.1,2.0,1.5,3.5,127.0,103.0
P0190,2025-26,Isaiah Jackson,LAC,2TM,19.6,15.4,2.8,1.9,2.6,3.1,123.0,113.0
P0191,2025-26,Isaiah Joe,OKC,OKC,25.2,5.8,3.0,1.6,0.4,1.4,128.0,111.0
P0192,2025-26,Isaiah Stewart,DET,DET,21.3,10.6,2.4,0.6,3.4,2.5,123.0,110.0
P0193,2025-26,Ivica Zubac,IND,2TM,23.2,17.4,3.6,0.6,1.4,2.9,123.0,115.0
