Season,SeasonEndYear,PlayerKeyRaw,PlayerName,PlayoffTeam,Pos,PlayoffGames,PlayoffGamesStarted,PlayoffMinutes,PlayoffPoints,PlayoffRebounds,PlayoffAssists,PlayoffSteals,PlayoffBlocks,PlayoffTurnovers,PlayoffTS_Pct,PlayoffProductionScore,PlayoffEstimatedWinShares,PlayerKey,PlayerSeasonKey,PlayerKey_Fact,PlayerSeasonKey_Fact,Salary,SalaryMillions,ContractTier,PlayerValueTier,PlayoffValueScore,CostPerPlayoffPoint,CostPerPlayoffEstimatedWinShare
2021-22,2022,javale mcgee,JaVale McGee,PHO,C,12,,133.2,81.6,48.0,7.199999999999999,3.5999999999999996,4.800000000000001,9.600000000000001,0.7258753202391117,165.60000000000002,0.552,P00378,P00378-2022,P00378,P00378-2022,5000000.0,5.0,Low-Cost Rotation Contract,Market Neutral,33.120000000000005,61274.50980392157,9057971.014492752
2021-22,2022,kevin durant,Kevin Durant,BRK,F,4,,176.0,105.2,23.2,25.2,4.0,1.2,21.2,0.5264211369095276,165.23999999999998,0.5508,P00572,P00572-2022,P00572,P00572-2022,42018900.0,42.0189,Max / Supermax-Level,Expensive but Worth It,3.932516082048792,399419.2015209125,76287037.03703704
2021-22,2022,patrick beverley,Patrick Beverley,MIN,PG,6,,193.79999999999998,66.0,19.200000000000003,28.799999999999997,7.199999999999999,7.199999999999999,12.0,0.5596255596255597,163.44,0.5448,P00773,P00773-2022,P00773,P00773-2022,14320988.0,14.320988,Mid-Tier Rotation Contract,High-Cost Low-Return,11.412620414178129,216984.66666666666,26286688.69309839
2021-22,2022,d angelo russell,D'Angelo Russell,MIN,G,6,,196.20000000000002,72.0,15.0,40.2,9.0,0.0,16.799999999999997,0.4549590536851683,160.5,0.535,P00178,P00178-2022,P00178,P00178-2022,30013500.0,30.0135,High-Salary Starter,Expensive but Worth It,5.347593582887701,416854.1666666667,56100000.0
2021-22,2022,caleb martin,Caleb Martin,MIA,F,17,,209.10000000000002,76.5,37.400000000000006,5.1,10.2,1.7000000000000002,10.2,0.4614438063986874,154.53,0.5151,P00116,P00116-2022,P00116,P00116-2022,1782621.0,1.782621,Minimum / Two-Way / Replacement,Efficient Role Player,86.68696262413603,23302.235294117647,3460728.0139778685
2021-22,2022,paul reed,Paul Reed,PHI,F,12,,140.39999999999998,44.400000000000006,45.599999999999994,9.600000000000001,9.600000000000001,6.0,9.600000000000001,0.5667892156862746,150.72000000000003,0.5024000000000001,P00778,P00778-2022,P00778,P00778-2022,1517981.0,1.517981,Minimum / Two-Way / Replacement,Insufficient Minutes / Context,99.28978030686815,34188.76126126126,3021458.996815286
2021-22,2022,de anthony melton,De'Anthony Melton,MEM,G,10,,170.0,56.0,31.0,16.0,10.0,5.0,14.0,0.41941282204913116,148.2,0.49399999999999994,P00221,P00221-2022,P00221,P00221-2022,8805976.0,8.805976,Low-Cost Rotation Contract,Market Neutral,16.82948034380289,157249.57142857142,17825862.34817814
2021-22,2022,aaron gordon,Aaron Gordon,DEN,F,5,,160.0,69.0,36.0,13.0,2.0,6.0,8.0,0.520205066344994,147.7,0.4923333333333333,P00005,P00005-2022,P00005,P00005-2022,16409091.0,16.409091,Mid-Tier Rotation Contract,High-Cost Low-Return,9.001107983373362,237812.91304347827,33329230.196343943
2021-22,2022,bojan bogdanovic,Bojan Bogdanovic,UTA,SF,6,,214.20000000000002,108.0,25.200000000000003,10.2,1.7999999999999998,0.0,12.0,0.5897771952817824,146.94000000000003,0.48980000000000007,P00083,P00083-2022,P00083,P00083-2022,18700000.0,18.7,Mid-Tier Rotation Contract,High-Cost Low-Return,7.857754010695189,173148.14814814815,38178848.509595744
2021-22,2022,herbert jones,Herbert Jones,NOP,F,6,,226.20000000000002,64.19999999999999,19.799999999999997,10.8,10.8,4.800000000000001,7.800000000000001,0.5992383512544802,143.16,0.4772,P00345,P00345-2022,P00345,P00345-2022,1700000.0,1.7,Minimum / Two-Way / Replacement,Efficient Role Player,84.21176470588236,26479.750778816204,3562447.611064543
2021-22,2022,jordan clarkson,Jordan Clarkson,UTA,G,6,,169.8,105.0,19.200000000000003,7.800000000000001,3.0,1.2000000000000002,10.2,0.6471893491124261,142.14,0.47379999999999994,P00497,P00497-2022,P00497,P00497-2022,12420000.0,12.42,Mid-Tier Rotation Contract,Market Neutral,11.444444444444443,118285.71428571429,26213592.23300971
2021-22,2022,zach lavine,Zach LaVine,CHI,G,4,,153.2,77.2,21.2,24.0,3.2,1.2,12.0,0.552312271062271,139.83999999999997,0.46613333333333323,P00993,P00993-2022,P00993,P00993-2022,19500000.0,19.5,Mid-Tier Rotation Contract,Expensive but Worth It,7.17128205128205,252590.67357512953,41833524.027459964
2021-22,2022,gary trent jr,Gary Trent Jr.,TOR,G,6,,199.20000000000002,91.80000000000001,10.2,7.800000000000001,6.0,3.0,3.0,0.5063542494042892,139.74,0.46580000000000005,P00318,P00318-2022,P00318,P00318-2022,16000000.0,16.0,Mid-Tier Rotation Contract,High-Cost Low-Return,8.73375,174291.93899782133,34349506.225848
2021-22,2022,de andre hunter,De'Andre Hunter,ATL,F,5,,175.0,106.0,19.0,3.0,4.0,1.0,11.0,0.6725888324873097,137.3,0.4576666666666667,P00220,P00220-2022,P00220,P00220-2022,7775400.0,7.7754,Low-Cost Rotation Contract,Market Neutral,17.65825552383157,73352.83018867925,16989220.68463219
2021-22,2022,dwight powell,Dwight Powell,DAL,F,18,,248.4,57.6,46.800000000000004,3.6,3.6,5.3999999999999995,9.0,0.6472491909385114,137.16,0.4572,P00275,P00275-2022,P00275,P00275-2022,11080125.0,11.080125,Mid-Tier Rotation Contract,Market Neutral,12.378921717940907,192363.28125,24234744.09448819
2021-22,2022,fred vanvleet,Fred VanVleet,TOR,G,4,,140.0,55.2,12.0,25.2,7.2,4.0,4.0,0.4872881355932204,137.0,0.45666666666666667,P00305,P00305-2022,P00305,P00305-2022,19675926.0,19.675926,Mid-Tier Rotation Contract,Expensive but Worth It,6.9628235031987815,356447.9347826087,43085969.343065694
2021-22,2022,davis bertans,Davis Bertans,DAL,SF,18,,192.6,73.8,25.2,5.3999999999999995,7.2,1.8,3.6,0.6015258215962441,135.54,0.4518,P00216,P00216-2022,P00216,P00216-2022,16000000.0,16.0,Mid-Tier Rotation Contract,High-Cost Low-Return,8.47125,216802.16802168023,35413899.95573263
2021-22,2022,chris boucher,Chris Boucher,TOR,F,6,,130.2,67.19999999999999,34.8,1.2000000000000002,1.2000000000000002,7.199999999999999,1.7999999999999998,0.7227671657201857,134.15999999999997,0.4471999999999999,P00147,P00147-2022,P00147,P00147-2022,7020000.0,7.02,Low-Cost Rotation Contract,Market Neutral,19.111111111111107,104464.28571428574,15697674.418604655
2021-22,2022,monte morris,Monte Morris,DEN,PG,5,,156.0,70.0,11.0,27.0,6.0,0.0,8.0,0.6218905472636815,133.7,0.44566666666666666,P00703,P00703-2022,P00703,P00703-2022,8449074.0,8.449074,Low-Cost Rotation Contract,Market Neutral,15.824219316815073,120701.05714285714,18958281.226626776
2021-22,2022,jonathan kuminga,Jonathan Kuminga,GSW,F,16,,137.6,83.2,27.2,8.0,3.2,1.6,11.2,0.5772646536412079,131.04000000000002,0.4368000000000001,P00494,P00494-2022,P00494,P00494-2022,5466360.0,5.46636,Low-Cost Rotation Contract,Market Neutral,23.972076482339258,65701.44230769231,12514560.439560438
2021-22,2022,scottie barnes,Scottie Barnes,TOR,F,4,,133.2,51.2,36.0,17.2,4.0,1.2,5.2,0.5220228384991844,130.6,0.4353333333333333,P00842,P00842-2022,P00842,P00842-2022,7280520.0,7.28052,Low-Cost Rotation Contract,Market Neutral,17.938279133908015,142197.65625,16724012.251148546
2021-22,2022,trae young,Trae Young,ATL,G,5,,186.0,77.0,25.0,30.0,3.0,0.0,31.0,0.4609674329501916,130.0,0.43333333333333335,P00909,P00909-2022,P00909,P00909-2022,8326471.0,8.326471,Low-Cost Rotation Contract,Market Neutral,15.612856875379737,108135.98701298701,19214933.076923076
2021-22,2022,cameron payne,Cameron Payne,PHO,PG,13,,171.6,54.6,19.5,27.3,6.5,1.3,13.0,0.3547297297297297,129.35,0.43116666666666664,P00125,P00125-2022,P00125,P00125-2022,6500000.0,6.5,Low-Cost Rotation Contract,Market Neutral,19.9,119047.61904761904,15075376.884422112
2021-22,2022,will barton,Will Barton,DEN,G,5,,172.0,69.0,28.0,14.0,4.0,1.0,10.0,0.5026223776223776,128.6,0.42866666666666664,P00973,P00973-2022,P00973,P00973-2022,15625000.0,15.625,Mid-Tier Rotation Contract,High-Cost Low-Return,8.2304,226449.27536231885,36450233.281493
2021-22,2022,mike conley,Mike Conley,UTA,G,6,,174.0,55.199999999999996,19.200000000000003,28.799999999999997,4.800000000000001,1.7999999999999998,13.200000000000001,0.43396226415094336,128.04000000000002,0.42680000000000007,P00693,P00693-2022,P00693,P00693-2022,21000000.0,21.0,High-Salary Starter,High-Cost Low-Return,6.097142857142858,380434.7826086957,49203373.94564198
2021-22,2022,shake milton,Shake Milton,PHI,SG,12,,158.39999999999998,60.0,19.200000000000003,10.8,6.0,3.5999999999999996,4.800000000000001,0.6332320162107395,123.24000000000002,0.41080000000000005,P00854,P00854-2022,P00854,P00854-2022,1846738.0,1.846738,Minimum / Two-Way / Replacement,Efficient Role Player,66.73388428678027,30778.966666666667,4495467.380720545
2021-22,2022,nic claxton,Nic Claxton,BRK,C,4,,98.0,42.0,25.2,6.0,5.2,9.2,2.0,0.6235154394299287,122.44,0.40813333333333335,P00729,P00729-2022,P00729,P00729-2022,1782621.0,1.782621,Minimum / Two-Way / Replacement,Efficient Role Player,68.68537956189229,42443.357142857145,4367741.751061744
